calendar_year,calendar_month,route,average_daily_ridership,source,objectid,city
2019,11,104,2977,APC,436,Philadelphia
2019,11,105,1212,APC,437,Philadelphia
2019,11,106,1222,APC,438,Philadelphia
2019,11,107,968,APC,439,Philadelphia
2019,11,108,5322,APC,440,Philadelphia
2019,11,109,4269,APC,441,Philadelphia
2019,11,110,1967,APC,442,Philadelphia
2019,11,111,1438,APC,443,Philadelphia
2019,11,112,1099,APC,444,Philadelphia
2019,11,113,6713,APC,445,Philadelphia
2019,11,114,1871,APC,446,Philadelphia
2019,11,115,1211,APC,447,Philadelphia
2019,11,117,2011,APC,448,Philadelphia
2019,11,118,492,APC,449,Philadelphia
2019,11,119,732,APC,450,Philadelphia
2019,11,120,368,APC,451,Philadelphia
2019,11,123,996,APC,452,Philadelphia
2019,11,124,1934,APC,453,Philadelphia
2019,11,125,2264,APC,454,Philadelphia
2019,11,126,554,APC,455,Philadelphia
2019,11,127,312,APC,456,Philadelphia
2019,11,128,358,APC,457,Philadelphia
2019,11,129,892,APC,458,Philadelphia
2019,11,130,600,APC,459,Philadelphia
2019,11,131,734,APC,460,Philadelphia
2019,11,132,378,APC,461,Philadelphia
2019,11,133,86,APC,462,Philadelphia
2019,11,139,424,APC,463,Philadelphia
2019,11,150,30,APC,464,Philadelphia
2019,11,201,105,APC,465,Philadelphia
2019,11,204,208,APC,466,Philadelphia
2019,11,206,153,APC,467,Philadelphia
2019,11,310,457,APC,468,Philadelphia
2019,11,311,236,APC,469,Philadelphia
2019,11,47M,825,APC,470,Philadelphia
2019,11,BLVDDIR,3298,APC,471,Philadelphia
2019,11,B1 OWL,1867,APC,472,Philadelphia
2019,11,63,16704,APC,473,Philadelphia
2019,11,71,4982,APC,474,Philadelphia
2019,11,41,2865,APC,475,Philadelphia
2019,11,K,9117,APC,476,Philadelphia
2019,11,51,7648,APC,477,Philadelphia
2019,11,LUCYGO,1618,APC,478,Philadelphia
2019,11,LUCYGR,1090,APC,479,Philadelphia
2019,11,L1 OWL,1900,APC,480,Philadelphia
2019,11,82,10123,APC,481,Philadelphia
2019,11,81,5676,APC,482,Philadelphia
2019,12,1,2368,APC,483,Philadelphia
2019,12,2,4746,APC,484,Philadelphia
2019,12,3,7304,APC,485,Philadelphia
2019,12,4,6472,APC,486,Philadelphia
2019,12,5,3182,APC,487,Philadelphia
2019,12,6,4964,APC,488,Philadelphia
2019,12,7,4598,APC,489,Philadelphia
2019,12,8,2512,APC,490,Philadelphia
2019,12,9,4036,APC,491,Philadelphia
2019,12,T1,10422,Traffic,492,Philadelphia
2019,12,T4,11965,APC,493,Philadelphia
2019,12,12,2380,APC,494,Philadelphia
2019,12,T3,12380,APC,495,Philadelphia
2019,12,14,5491,APC,496,Philadelphia
2019,12,G1,10194,Traffic,497,Philadelphia
2019,12,16,5959,APC,498,Philadelphia
2019,12,17,8284,APC,499,Philadelphia
2019,12,18,12738,APC,500,Philadelphia
2019,12,19,1161,APC,501,Philadelphia
2019,12,20,4182,APC,502,Philadelphia
2019,12,21,8915,APC,503,Philadelphia
2019,12,22,3929,APC,504,Philadelphia
2019,12,23,14485,APC,505,Philadelphia
2019,12,24,1955,APC,506,Philadelphia
2019,12,25,3799,APC,507,Philadelphia
2019,12,26,10152,APC,508,Philadelphia
2019,12,27,3539,APC,509,Philadelphia
2019,12,28,1696,APC,510,Philadelphia
2019,12,29,3938,APC,511,Philadelphia
2019,12,30,1108,APC,512,Philadelphia
2019,12,31,4026,APC,513,Philadelphia
2019,12,32,4060,APC,514,Philadelphia
2019,12,33,9985,APC,515,Philadelphia
2019,12,T2,11756,APC,516,Philadelphia
2019,12,35,122,APC,517,Philadelphia
2019,12,T5,12902,APC,518,Philadelphia
2019,12,37,3164,APC,519,Philadelphia
2019,12,38,2291,APC,520,Philadelphia
2019,12,39,2195,APC,521,Philadelphia
2019,12,40,6405,APC,522,Philadelphia
2019,12,42,8197,APC,523,Philadelphia
2019,12,43,2894,APC,524,Philadelphia
2019,12,44,2897,APC,525,Philadelphia
2019,12,45,5672,APC,526,Philadelphia
2019,12,46,4956,APC,527,Philadelphia
2019,12,47,15695,APC,528,Philadelphia
2019,12,48,6764,APC,529,Philadelphia
2019,12,49,2699,APC,530,Philadelphia
2019,12,50,1803,APC,531,Philadelphia
2019,12,52,12952,APC,532,Philadelphia
2019,12,53,2579,APC,533,Philadelphia
2019,12,54,5927,APC,534,Philadelphia
2019,12,55,4245,APC,535,Philadelphia
2019,12,56,10167,APC,536,Philadelphia
2019,12,57,9046,APC,537,Philadelphia
2019,12,58,7373,APC,538,Philadelphia
2019,12,59,4272,APC,539,Philadelphia
2019,12,60,9231,APC,540,Philadelphia
2019,12,61,3989,APC,541,Philadelphia
2019,12,62,203,APC,542,Philadelphia
2019,12,64,5321,APC,543,Philadelphia
2019,12,65,6953,APC,544,Philadelphia
2019,12,66,9647,APC,545,Philadelphia
2019,12,67,4406,APC,546,Philadelphia
2019,12,68,2080,APC,547,Philadelphia
2019,12,70,7322,APC,548,Philadelphia
2019,12,73,2196,APC,549,Philadelphia
2019,12,75,3363,APC,550,Philadelphia
2019,12,77,706,APC,551,Philadelphia
2019,12,78,62,APC,552,Philadelphia
2019,12,79,4913,APC,553,Philadelphia
2019,12,80,168,APC,554,Philadelphia
2019,12,84,3076,APC,555,Philadelphia
2019,12,88,2039,APC,556,Philadelphia
2019,12,89,1562,APC,557,Philadelphia
2019,12,90,399,APC,558,Philadelphia
2019,12,92,265,APC,559,Philadelphia
2019,12,93,1205,APC,560,Philadelphia
2019,12,94,421,APC,561,Philadelphia
2019,12,95,514,APC,562,Philadelphia
2019,12,96,1238,APC,563,Philadelphia
2019,12,97,598,APC,564,Philadelphia
2019,12,98,986,APC,565,Philadelphia
2019,12,99,1253,APC,566,Philadelphia
2019,12,D1,4180,Traffic,567,Philadelphia
2019,12,D2,4235,Traffic,568,Philadelphia
2019,12,103,1151,APC,569,Philadelphia
2019,12,104,2927,APC,570,Philadelphia
2019,12,105,1085,APC,571,Philadelphia
2019,12,106,1126,APC,572,Philadelphia
2019,12,107,980,APC,573,Philadelphia
2019,12,108,4934,APC,574,Philadelphia
2019,12,109,4310,APC,575,Philadelphia
2019,12,110,2046,APC,576,Philadelphia
2019,12,111,1437,APC,577,Philadelphia
2019,12,112,939,APC,578,Philadelphia
2019,12,113,6436,APC,579,Philadelphia
2019,12,114,1824,APC,580,Philadelphia
2019,12,115,1045,APC,581,Philadelphia
2019,12,117,1874,APC,582,Philadelphia
2019,12,118,387,APC,583,Philadelphia
2019,12,119,694,APC,584,Philadelphia
2019,12,120,369,APC,585,Philadelphia
2019,12,123,1028,APC,586,Philadelphia
2019,12,124,1823,APC,587,Philadelphia
2019,12,125,2132,APC,588,Philadelphia
2019,12,126,567,APC,589,Philadelphia
2019,12,127,294,APC,590,Philadelphia
2019,12,128,361,APC,591,Philadelphia
2019,12,129,852,APC,592,Philadelphia
2019,12,130,505,APC,593,Philadelphia
2019,12,131,702,APC,594,Philadelphia
2019,12,132,329,APC,595,Philadelphia
2019,12,133,61,APC,596,Philadelphia
2019,12,139,373,APC,597,Philadelphia
2019,12,150,30,APC,598,Philadelphia
2019,12,201,143,APC,599,Philadelphia
2019,12,204,184,APC,600,Philadelphia
2019,12,206,134,APC,601,Philadelphia
2019,12,310,386,APC,602,Philadelphia
2019,12,311,215,APC,603,Philadelphia
2019,12,47M,902,APC,604,Philadelphia
2019,12,BLVDDIR,2794,APC,605,Philadelphia
2019,12,B1 OWL,1733,APC,606,Philadelphia
2019,12,63,15629,APC,607,Philadelphia
2019,12,71,4366,APC,608,Philadelphia
2019,12,41,2489,APC,609,Philadelphia
2019,12,K,7738,APC,610,Philadelphia
